order_number,product_key,customer_id,order_date,ship_date,due_date,sales_amount,sales_quantity,sales_price
SO52388,WB-H098,13458,2013-02-07,2013-02-14,2013-02-19,5,1,5
SO52421,HL-U509-B,11234,2013-02-08,2013-02-15,2013-02-20,35,1,35
SO52506,HL-U509-B,25627,2013-02-09,2013-02-16,2013-02-21,35,1,35
SO52575,BC-R205,21061,2013-02-10,2013-02-17,2013-02-22,9,1,9
SO52807,HL-U509-B,21252,2013-02-15,2013-02-22,2013-02-27,35,1,35
SO52827,TT-M928,11663,2013-02-15,2013-02-22,2013-02-27,5,1,5
SO52839,CA-1098,25675,2013-02-15,2013-02-22,2013-02-27,9,1,9
SO53054,BK-M68B-46,11837,2013-02-20,2013-02-27,2013-03-04,2295,1,2295
SO53179,HL-U509-R,21608,2013-02-22,2013-03-01,2013-03-06,35,1,35
SO53297,GL-H102-M,20848,2013-02-25,2013-03-04,2013-03-09,24,1,24
SO53650,BC-R205,20666,2013-02-28,2013-03-07,2013-03-12,9,1,9
SO53707,TI-M823,12164,2013-03-01,2013-03-08,2013-03-13,35,1,35
SO53774,TT-R982,14858,2013-03-03,2013-03-10,2013-03-15,4,1,4
SO53937,TI-M602,23888,2013-03-06,2013-03-13,2013-03-18,30,1,30
SO54034,BK-R19B-58,22372,2013-03-07,2013-03-14,2013-03-19,540,1,540
SO54067,SJ-0194-L,14842,2013-03-08,2013-03-15,2013-03-20,54,1,54
SO54203,BK-M18S-40,17717,2013-03-11,2013-03-18,2013-03-23,565,1,565
SO54254,SO-R809-L,14062,2013-03-12,2013-03-19,2013-03-24,9,1,9
SO54275,BC-M005,21688,2013-03-12,2013-03-19,2013-03-24,10,1,10
SO43754,BK-R93R-48,27617,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO44014,BK-R93R-52,27917,2011-02-18,2011-02-25,2011-03-02,3578,1,3578
SO44163,BK-R93R-56,28193,2011-03-06,2011-03-13,2011-03-18,3578,1,3578
SO44845,BK-R93R-52,28845,2011-06-06,2011-06-13,2011-06-18,3578,1,3578
SO44965,BK-R50B-58,14649,2011-06-20,2011-06-27,2011-07-02,699,1,699
SO45108,BK-R93R-62,22975,2011-07-06,2011-07-13,2011-07-18,3578,1,3578
SO45232,BK-R93R-62,18736,2011-07-26,2011-08-02,2011-08-07,3578,1,3578
SO45235,BK-R93R-56,29147,2011-07-27,2011-08-03,2011-08-08,3578,1,3578
SO45442,BK-R93R-56,29335,2011-08-15,2011-08-22,2011-08-27,3578,1,3578
SO45595,BK-R93R-56,11515,2011-08-31,2011-09-07,2011-09-12,3578,1,3578
SO45638,BK-R50R-62,14746,2011-09-06,2011-09-13,2011-09-18,699,1,699
SO45642,BK-R93R-52,11623,2011-09-07,2011-09-14,2011-09-19,3578,1,3578
SO46185,BK-R93R-56,15632,2011-11-09,2011-11-16,2011-11-21,3578,1,3578
SO47256,BK-R89B-44,16417,2012-02-19,2012-02-26,2012-03-02,2182,1,2182
SO47274,BK-R89R-52,16407,2012-02-21,2012-02-28,2012-03-04,2443,1,2443
SO47811,BK-M68S-38,12271,2012-04-11,2012-04-18,2012-04-23,2071,1,2071
SO48159,BK-R64Y-48,19322,2012-05-11,2012-05-18,2012-05-23,1000,1,1000
SO48831,BK-R50R-44,20886,2012-07-04,2012-07-11,2012-07-16,783,1,783
SO48933,BK-M68B-46,26694,2012-07-16,2012-07-23,2012-07-28,2049,1,2049
SO48980,BK-R89R-48,23322,2012-07-22,2012-07-29,2012-08-03,2443,1,2443
SO49220,BK-M68S-38,14032,2012-08-04,2012-08-11,2012-08-16,2071,1,2071
SO49231,BK-M68B-46,27058,2012-08-05,2012-08-12,2012-08-17,2049,1,2049
SO49265,BK-M68S-46,14050,2012-08-08,2012-08-15,2012-08-20,2071,1,2071
SO50905,BK-M68S-38,27576,2012-12-11,2012-12-18,2012-12-23,2071,1,2071
SO51028,BK-R89B-44,24587,2012-12-22,2012-12-29,2013-01-03,2182,1,2182
SO51073,BK-R89R-58,19058,2012-12-27,2013-01-03,2013-01-08,2182,1,2182
SO51199,BK-R19B-52,21440,2012-12-29,2013-01-05,2013-01-10,540,1,540
SO51264,BK-M68B-42,11282,2013-01-02,2013-01-09,2013-01-14,2295,1,2295
SO51274,TI-R982,25779,2013-01-03,2013-01-10,2013-01-15,33,1,33
SO51314,WB-H098,26666,2013-01-05,2013-01-12,2013-01-17,5,1,5
SO51318,BK-R19B-44,22432,2013-01-05,2013-01-12,2013-01-17,540,1,540
SO51328,BK-R19B-44,26655,2013-01-06,2013-01-13,2013-01-18,540,1,540
SO51345,HY-1023-70,11267,2013-01-07,2013-01-14,2013-01-19,55,1,55
SO51348,TI-M823,11167,2013-01-07,2013-01-14,2013-01-19,35,1,35
SO51371,WB-H098,22259,2013-01-08,2013-01-15,2013-01-20,5,1,5
SO51390,BK-R19B-58,25611,2013-01-09,2013-01-16,2013-01-21,540,1,540
SO51490,FE-6654,11171,2013-01-16,2013-01-23,2013-01-28,22,1,22
SO51581,FE-6654,11007,2013-01-21,2013-01-28,2013-02-02,22,1,22
SO51619,BK-R79Y-48,20832,2013-01-24,2013-01-31,2013-02-05,1701,1,1701
SO51674,BK-R89B-44,23597,2013-01-27,2013-02-03,2013-02-08,2443,1,2443
SO51684,BK-M68B-38,11451,2013-01-27,2013-02-03,2013-02-08,2295,1,2295
SO52028,TT-M928,26132,2013-01-31,2013-02-07,2013-02-12,5,1,5
SO52049,TI-M823,13818,2013-01-31,2013-02-07,2013-02-12,35,1,35
SO52058,BK-M68S-46,11325,2013-01-31,2013-02-07,2013-02-12,2320,1,2320
SO52098,CL-9009,28908,2013-02-01,2013-02-08,2013-02-13,8,1,8
SO52244,FE-6654,22154,2013-02-04,2013-02-11,2013-02-16,22,1,22
SO52246,CA-1098,13508,2013-02-04,2013-02-11,2013-02-16,9,1,9
SO52249,FE-6654,18871,2013-02-04,2013-02-11,2013-02-16,22,1,22
SO52305,HY-1023-70,25335,2013-02-05,2013-02-12,2013-02-17,55,1,55
SO52331,CA-1098,14053,2013-02-06,2013-02-13,2013-02-18,9,1,9
SO52482,BK-M38S-46,16324,2013-02-09,2013-02-16,2013-02-21,769,1,769
SO52489,TT-R982,16097,2013-02-09,2013-02-16,2013-02-21,4,1,4
SO52625,BK-M18S-52,14848,2013-02-12,2013-02-19,2013-02-24,565,1,565
SO52653,HL-U509-R,14339,2013-02-12,2013-02-19,2013-02-24,35,1,35
SO52780,TT-R982,15217,2013-02-15,2013-02-22,2013-02-27,4,1,4
SO52785,VE-C304-S,19448,2013-02-15,2013-02-22,2013-02-27,64,1,64
SO52833,BK-R19B-48,21650,2013-02-15,2013-02-22,2013-02-27,540,1,540
SO52965,BK-M68S-38,11492,2013-02-19,2013-02-26,2013-03-03,2320,1,2320
SO53049,BK-M18S-40,15561,2013-02-20,2013-02-27,2013-03-04,565,1,565
SO53141,TI-R982,23636,2013-02-22,2013-03-01,2013-03-06,33,1,33
SO53212,HY-1023-70,18109,2013-02-23,2013-03-02,2013-03-07,55,1,55
SO53277,TI-M823,15377,2013-02-24,2013-03-03,2013-03-08,35,1,35
SO53437,CA-1098,13877,2013-02-27,2013-03-06,2013-03-11,9,1,9
SO53444,BK-T18Y-44,26322,2013-02-27,2013-03-06,2013-03-11,742,1,742
SO53705,BK-R79Y-40,16897,2013-03-01,2013-03-08,2013-03-13,1701,1,1701
SO53708,FE-6654,11538,2013-03-01,2013-03-08,2013-03-13,22,1,22
SO53838,TI-M602,11215,2013-03-04,2013-03-11,2013-03-16,30,1,30
SO53927,WB-H098,11125,2013-03-06,2013-03-13,2013-03-18,5,1,5
SO53960,VE-C304-M,12908,2013-03-06,2013-03-13,2013-03-18,64,1,64
SO54037,BK-T79U-54,15116,2013-03-07,2013-03-14,2013-03-19,2384,1,2384
SO54259,TT-M928,21172,2013-03-12,2013-03-19,2013-03-24,5,1,5
SO43940,BK-R50B-62,25294,2011-02-02,2011-02-09,2011-02-14,699,1,699
SO44272,BK-R93R-44,12256,2011-03-30,2011-04-06,2011-04-11,3578,1,3578
SO44346,BK-R50B-62,14602,2011-04-06,2011-04-13,2011-04-18,699,1,699
SO45159,BK-M82B-42,11400,2011-07-15,2011-07-22,2011-07-27,3375,1,3375
SO45215,BK-R93R-48,29208,2011-07-23,2011-07-30,2011-08-04,3578,1,3578
SO45254,BK-R93R-56,29252,2011-07-30,2011-08-06,2011-08-11,3578,1,3578
SO45657,BK-R93R-44,11266,2011-09-10,2011-09-17,2011-09-22,3578,1,3578
SO45754,BK-R93R-44,11529,2011-09-24,2011-10-01,2011-10-06,3578,1,3578
SO46284,BK-R50R-48,14888,2011-11-21,2011-11-28,2011-12-03,699,1,699
SO46422,BK-R93R-44,12884,2011-12-04,2011-12-11,2011-12-16,3578,1,3578
SO47325,BK-R89B-44,13278,2012-02-26,2012-03-04,2012-03-09,2182,1,2182
SO47839,BK-R50R-58,20838,2012-04-14,2012-04-21,2012-04-26,783,1,783
SO48825,BK-R89B-44,23414,2012-07-03,2012-07-10,2012-07-15,2182,1,2182
SO48972,BK-M68B-42,13629,2012-07-21,2012-07-28,2012-08-02,2049,1,2049
SO48994,BK-R50R-62,15506,2012-07-23,2012-07-30,2012-08-04,783,1,783
SO49007,BK-M68B-46,13637,2012-07-25,2012-08-01,2012-08-06,2049,1,2049
SO49251,BK-R89B-52,13871,2012-08-07,2012-08-14,2012-08-19,2182,1,2182
SO49771,BK-R50B-52,15570,2012-09-22,2012-09-29,2012-10-04,783,1,783
SO49904,BK-R50B-48,15882,2012-09-28,2012-10-05,2012-10-10,783,1,783
SO50058,BK-R64Y-38,14414,2012-10-14,2012-10-21,2012-10-26,1000,1,1000
SO50133,BK-M68B-46,11345,2012-10-22,2012-10-29,2012-11-03,2049,1,2049
SO50890,BK-R89R-44,13984,2012-12-09,2012-12-16,2012-12-21,2443,1,2443
SO51230,BK-M68B-38,11292,2012-12-31,2013-01-07,2013-01-12,2295,1,2295
SO51362,TI-R628,16797,2013-01-08,2013-01-15,2013-01-20,25,1,25
SO51379,TT-M928,13745,2013-01-09,2013-01-16,2013-01-21,5,1,5
SO51403,HL-U509-R,21465,2013-01-10,2013-01-17,2013-01-22,35,1,35
SO51551,BC-M005,13058,2013-01-20,2013-01-27,2013-02-01,10,1,10
SO51558,BK-R64Y-48,23104,2013-01-20,2013-01-27,2013-02-01,1120,1,1120
SO51911,PK-7098,11746,2013-01-28,2013-02-04,2013-02-09,2,1,2
SO52072,HL-U509,11113,2013-02-01,2013-02-08,2013-02-13,35,1,35
SO52084,WB-H098,14446,2013-02-01,2013-02-08,2013-02-13,5,1,5
SO52165,TT-M928,16617,2013-02-03,2013-02-10,2013-02-15,5,1,5
SO52167,WB-H098,19499,2013-02-03,2013-02-10,2013-02-15,5,1,5
SO52195,FE-6654,15821,2013-02-03,2013-02-10,2013-02-15,22,1,22
SO52207,SJ-0194-M,11056,2013-02-03,2013-02-10,2013-02-15,54,1,54
SO52264,TT-R982,16886,2013-02-04,2013-02-11,2013-02-16,4,1,4
SO52279,BK-R89R-58,18249,2013-02-05,2013-02-12,2013-02-17,2443,1,2443
SO52443,CA-1098,11233,2013-02-08,2013-02-15,2013-02-20,9,1,9
SO52479,CA-1098,22620,2013-02-09,2013-02-16,2013-02-21,9,1,9
SO52522,BK-R64Y-44,16514,2013-02-10,2013-02-17,2013-02-22,1120,1,1120
SO52571,RA-H123,19402,2013-02-10,2013-02-17,2013-02-22,120,1,120
SO52577,HL-U509,11346,2013-02-11,2013-02-18,2013-02-23,35,1,35
SO52718,BK-R79Y-42,14125,2013-02-13,2013-02-20,2013-02-25,1701,1,1701
SO52767,CA-1098,16223,2013-02-14,2013-02-21,2013-02-26,9,1,9
SO52813,TI-R092,27815,2013-02-15,2013-02-22,2013-02-27,21,1,21
SO52905,TT-M928,14703,2013-02-17,2013-02-24,2013-03-01,5,1,5
SO52950,HL-U509-R,11832,2013-02-18,2013-02-25,2013-03-02,35,1,35
SO53062,BK-M18B-48,12011,2013-02-20,2013-02-27,2013-03-04,540,1,540
SO53743,FE-6654,13935,2013-03-02,2013-03-09,2013-03-14,22,1,22
SO53755,CA-1098,21741,2013-03-02,2013-03-09,2013-03-14,9,1,9
SO53758,SH-W890-M,13915,2013-03-02,2013-03-09,2013-03-14,70,1,70
SO53785,BC-M005,13795,2013-03-03,2013-03-10,2013-03-15,10,1,10
SO53913,TI-M267,15831,2013-03-05,2013-03-12,2013-03-17,25,1,25
SO53990,SJ-0194-L,16711,2013-03-07,2013-03-14,2013-03-19,54,1,54
SO53997,PK-7098,11740,2013-03-07,2013-03-14,2013-03-19,2,1,2
SO54148,WB-H098,18494,2013-03-10,2013-03-17,2013-03-22,5,1,5
SO54212,TI-R982,14897,2013-03-11,2013-03-18,2013-03-23,33,1,33
SO43819,BK-M82S-44,11006,2011-01-24,2011-01-31,2011-02-05,3400,1,3400
SO44222,BK-R93R-44,17258,2011-03-19,2011-03-26,2011-03-31,3578,1,3578
SO44264,BK-R93R-52,17286,2011-03-27,2011-04-03,2011-04-08,3578,1,3578
SO44410,BK-R93R-62,28223,2011-04-16,2011-04-23,2011-04-28,3578,1,3578
SO44412,BK-M82B-42,11100,2011-04-16,2011-04-23,2011-04-28,3375,1,3375
SO44588,BK-R50B-52,26683,2011-05-04,2011-05-11,2011-05-16,699,1,699
SO44641,BK-R93R-52,18255,2011-05-12,2011-05-19,2011-05-24,3578,1,3578
SO44972,BK-R93R-44,29016,2011-06-21,2011-06-28,2011-07-03,3578,1,3578
SO45036,BK-R93R-44,28846,2011-06-30,2011-07-07,2011-07-12,3578,1,3578
SO45079,BK-R93R-48,29255,2011-07-01,2011-07-08,2011-07-13,3578,1,3578
SO45482,BK-R93R-62,12522,2011-08-24,2011-08-31,2011-09-05,3578,1,3578
SO45682,BK-R93R-48,19950,2011-09-13,2011-09-20,2011-09-25,3578,1,3578
SO45828,BK-R50R-52,14753,2011-10-01,2011-10-08,2011-10-13,699,1,699
SO45891,BK-M82S-44,11380,2011-10-11,2011-10-18,2011-10-23,3400,1,3400
SO45976,BK-R93R-56,20239,2011-10-23,2011-10-30,2011-11-04,3578,1,3578
SO46253,BK-R93R-44,12082,2011-11-17,2011-11-24,2011-11-29,3578,1,3578
SO46448,BK-M82S-38,12250,2011-12-07,2011-12-14,2011-12-19,3400,1,3400
SO46457,BK-R50R-62,25947,2011-12-08,2011-12-15,2011-12-20,699,1,699
SO46877,BK-R89R-52,12926,2012-01-22,2012-01-29,2012-02-03,2443,1,2443
SO47198,BK-R89R-52,14169,2012-02-13,2012-02-20,2012-02-25,2443,1,2443
SO47317,BK-R89B-58,14154,2012-02-25,2012-03-03,2012-03-08,2182,1,2182
SO47499,BK-R89B-52,21572,2012-03-07,2012-03-14,2012-03-19,2182,1,2182
SO48606,BK-R89R-44,22988,2012-06-17,2012-06-24,2012-06-29,2443,1,2443
SO48962,BK-M68B-46,13649,2012-07-20,2012-07-27,2012-08-01,2049,1,2049
SO48966,BK-R89B-44,17639,2012-07-21,2012-07-28,2012-08-02,2182,1,2182
SO49235,BK-R50R-58,15537,2012-08-05,2012-08-12,2012-08-17,783,1,783
SO50120,BK-M68S-38,15040,2012-10-21,2012-10-28,2012-11-02,2071,1,2071
SO50170,BK-R89R-58,24257,2012-10-25,2012-11-01,2012-11-06,2182,1,2182
SO50515,BK-M68B-38,15215,2012-11-15,2012-11-22,2012-11-27,2049,1,2049
SO50571,BK-R50B-52,15890,2012-11-20,2012-11-27,2012-12-02,783,1,783
SO50792,BK-R50R-60,15972,2012-11-30,2012-12-07,2012-12-12,783,1,783
SO50970,BK-M68B-46,27574,2012-12-17,2012-12-24,2012-12-29,2049,1,2049
SO51207,BK-M68S-46,11338,2012-12-30,2013-01-06,2013-01-11,2320,1,2320
SO51214,BC-R205,19765,2012-12-30,2013-01-06,2013-01-11,9,1,9
SO51591,FE-6654,11175,2013-01-22,2013-01-29,2013-02-03,22,1,22
SO51607,BK-R79Y-40,16799,2013-01-23,2013-01-30,2013-02-04,1701,1,1701
SO51915,TI-R982,20200,2013-01-28,2013-02-04,2013-02-09,33,1,33
SO51984,TI-R092,18329,2013-01-30,2013-02-06,2013-02-11,21,1,21
SO52071,HL-U509,21366,2013-02-01,2013-02-08,2013-02-13,35,1,35
SO52160,TI-M823,11422,2013-02-03,2013-02-10,2013-02-15,35,1,35
SO52210,PK-7098,18308,2013-02-03,2013-02-10,2013-02-15,2,1,2
SO52223,TI-R982,19493,2013-02-04,2013-02-11,2013-02-16,33,1,33
SO52234,PK-7098,22163,2013-02-04,2013-02-11,2013-02-16,2,1,2
SO52471,CA-1098,11953,2013-02-09,2013-02-16,2013-02-21,9,1,9
SO52612,WB-H098,22653,2013-02-11,2013-02-18,2013-02-23,5,1,5
SO52644,TT-R982,28402,2013-02-12,2013-02-19,2013-02-24,4,1,4
SO52758,HL-U509,11688,2013-02-14,2013-02-21,2013-02-26,35,1,35
SO52919,BK-R89B-48,16232,2013-02-17,2013-02-24,2013-03-01,2443,1,2443
SO52963,LJ-0192-M,18273,2013-02-19,2013-02-26,2013-03-03,50,1,50
SO53040,TT-R982,28410,2013-02-20,2013-02-27,2013-03-04,4,1,4
SO53081,BC-R205,23764,2013-02-21,2013-02-28,2013-03-05,9,1,9
SO53144,GL-H102-S,27229,2013-02-22,2013-03-01,2013-03-06,24,1,24
SO53153,HL-U509,23255,2013-02-22,2013-03-01,2013-03-06,35,1,35
SO53229,HL-U509-B,11255,2013-02-23,2013-03-02,2013-03-07,35,1,35
SO53339,BK-T79Y-46,24526,2013-02-25,2013-03-04,2013-03-09,2384,1,2384
SO53379,HL-U509,23639,2013-02-26,2013-03-05,2013-03-10,35,1,35
SO53405,TI-R628,18256,2013-02-27,2013-03-06,2013-03-11,25,1,25
SO53424,PK-7098,22019,2013-02-27,2013-03-06,2013-03-11,2,1,2
SO53715,BK-R19B-44,21810,2013-03-01,2013-03-08,2013-03-13,540,1,540
SO54246,HL-U509-R,22686,2013-03-11,2013-03-18,2013-03-23,35,1,35
SO43715,BK-R93R-56,16483,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43809,BK-R93R-62,16350,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43838,BK-R93R-52,27641,2011-01-28,2011-02-04,2011-02-09,3578,1,3578
SO44170,BK-R93R-56,28183,2011-03-07,2011-03-14,2011-03-19,3578,1,3578
SO44397,BK-R50R-52,14596,2011-04-12,2011-04-19,2011-04-24,699,1,699
SO44448,BK-R93R-44,28264,2011-04-26,2011-05-03,2011-05-08,3578,1,3578
SO44699,BK-R93R-52,22234,2011-05-23,2011-05-30,2011-06-04,3578,1,3578
SO45443,BK-R93R-52,29350,2011-08-15,2011-08-22,2011-08-27,3578,1,3578
SO45821,BK-M82S-44,26041,2011-09-30,2011-10-07,2011-10-12,3400,1,3400
SO45900,BK-R93R-48,11837,2011-10-13,2011-10-20,2011-10-25,3578,1,3578
SO46237,BK-R93R-48,12843,2011-11-14,2011-11-21,2011-11-26,3578,1,3578
SO46681,BK-M68B-46,12349,2011-12-29,2012-01-05,2012-01-10,2049,1,2049
SO46762,BK-R89R-44,13063,2012-01-08,2012-01-15,2012-01-20,2443,1,2443
SO46765,BK-R50B-58,15191,2012-01-08,2012-01-15,2012-01-20,783,1,783
SO46864,BK-R89B-44,16045,2012-01-20,2012-01-27,2012-02-01,2182,1,2182
SO47100,BK-M68B-42,11612,2012-02-02,2012-02-09,2012-02-14,2049,1,2049
SO47775,BK-R89R-48,21980,2012-04-05,2012-04-12,2012-04-17,2443,1,2443
SO48411,BK-R89R-58,17182,2012-05-31,2012-06-07,2012-06-12,2182,1,2182
SO48538,BK-R89B-58,22905,2012-06-11,2012-06-18,2012-06-23,2182,1,2182
SO48720,BK-R89R-58,22910,2012-06-28,2012-07-05,2012-07-10,2182,1,2182
SO48855,BK-M68S-42,13955,2012-07-07,2012-07-14,2012-07-19,2071,1,2071
SO49009,BK-R50B-58,20890,2012-07-26,2012-08-02,2012-08-07,783,1,783
SO49303,BK-R89B-52,17103,2012-08-13,2012-08-20,2012-08-25,2182,1,2182
SO49324,BK-M68S-38,12461,2012-08-15,2012-08-22,2012-08-27,2071,1,2071
SO49358,BK-M68S-46,27076,2012-08-18,2012-08-25,2012-08-30,2071,1,2071
SO50005,BK-R89R-58,17848,2012-10-09,2012-10-16,2012-10-21,2182,1,2182
SO50142,BK-R50R-60,26920,2012-10-22,2012-10-29,2012-11-03,783,1,783
SO51286,PK-7098,16311,2013-01-04,2013-01-11,2013-01-16,2,1,2
SO51357,BK-R19B-52,22415,2013-01-07,2013-01-14,2013-01-19,540,1,540
SO51359,SJ-0194-X,18240,2013-01-08,2013-01-15,2013-01-20,54,1,54
SO51365,BK-M68B-38,11156,2013-01-08,2013-01-15,2013-01-20,2295,1,2295
SO51473,BK-R19B-48,18907,2013-01-15,2013-01-22,2013-01-27,540,1,540
SO51575,BK-R89B-48,22323,2013-01-21,2013-01-28,2013-02-02,2443,1,2443
SO51584,BK-R19B-48,22274,2013-01-21,2013-01-28,2013-02-02,540,1,540
SO51654,BK-T79Y-46,24433,2013-01-25,2013-02-01,2013-02-06,2384,1,2384
SO51662,BK-R89B-58,26382,2013-01-26,2013-02-02,2013-02-07,2443,1,2443
SO51672,BC-R205,19435,2013-01-27,2013-02-03,2013-02-08,9,1,9
SO51963,BK-T79Y-50,24063,2013-01-29,2013-02-05,2013-02-10,2384,1,2384
SO52035,TI-R982,11300,2013-01-31,2013-02-07,2013-02-12,33,1,33
SO52217,SJ-0194-S,17078,2013-02-04,2013-02-11,2013-02-16,54,1,54
SO52273,TI-T723,24528,2013-02-04,2013-02-11,2013-02-16,29,1,29
SO52338,TI-T723,13944,2013-02-06,2013-02-13,2013-02-18,29,1,29
SO52590,BC-M005,21442,2013-02-11,2013-02-18,2013-02-23,10,1,10
SO52696,TT-M928,15158,2013-02-13,2013-02-20,2013-02-25,5,1,5
SO52764,BK-T79Y-60,28323,2013-02-14,2013-02-21,2013-02-26,2384,1,2384
SO52787,TT-R982,27222,2013-02-15,2013-02-22,2013-02-27,4,1,4
SO52882,HL-U509-B,26873,2013-02-16,2013-02-23,2013-02-28,35,1,35
SO52939,SJ-0194-L,18530,2013-02-18,2013-02-25,2013-03-02,54,1,54
SO52945,CL-9009,19056,2013-02-18,2013-02-25,2013-03-02,8,1,8
SO53083,BK-R89B-58,22448,2013-02-21,2013-02-28,2013-03-05,2443,1,2443
SO53105,FE-6654,18150,2013-02-21,2013-02-28,2013-03-05,22,1,22
SO53253,PK-7098,27661,2013-02-24,2013-03-03,2013-03-08,2,1,2
SO53314,TT-M928,19817,2013-02-25,2013-03-04,2013-03-09,5,1,5
SO53321,HL-U509-B,22625,2013-02-25,2013-03-04,2013-03-09,35,1,35
SO53373,TT-M928,29209,2013-02-26,2013-03-05,2013-03-10,5,1,5
SO53627,TT-R982,16626,2013-02-28,2013-03-07,2013-03-12,4,1,4
SO53672,BC-R205,14683,2013-03-01,2013-03-08,2013-03-13,9,1,9
SO53714,WB-H098,16360,2013-03-01,2013-03-08,2013-03-13,5,1,5
SO53825,BK-R19B-48,16225,2013-03-03,2013-03-10,2013-03-15,540,1,540
SO53856,RA-H123,12105,2013-03-04,2013-03-11,2013-03-16,120,1,120
SO53971,SJ-0194-L,11099,2013-03-06,2013-03-13,2013-03-18,54,1,54
SO53974,BK-T79U-60,14790,2013-03-06,2013-03-13,2013-03-18,2384,1,2384
SO54039,BK-M68B-42,12510,2013-03-08,2013-03-15,2013-03-20,2295,1,2295
SO43721,BK-R93R-62,13590,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43728,BK-R93R-52,27666,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43929,BK-R50R-60,25270,2011-01-31,2011-02-07,2011-02-12,699,1,699
SO45107,BK-R93R-48,29275,2011-07-06,2011-07-13,2011-07-18,3578,1,3578
SO45651,BK-R93R-44,19771,2011-09-09,2011-09-16,2011-09-21,3578,1,3578
SO45752,BK-R93R-56,19772,2011-09-23,2011-09-30,2011-10-05,3578,1,3578
SO46574,BK-M82B-38,12243,2011-12-24,2011-12-31,2012-01-05,3375,1,3375
SO46831,BK-R89R-48,13066,2012-01-16,2012-01-23,2012-01-28,2443,1,2443
SO46851,BK-M68B-42,20209,2012-01-18,2012-01-25,2012-01-30,2049,1,2049
SO47073,BK-R89R-48,25287,2012-01-29,2012-02-05,2012-02-10,2443,1,2443
SO47567,BK-R89B-58,21570,2012-03-16,2012-03-23,2012-03-28,2182,1,2182
SO47580,BK-R64Y-48,14080,2012-03-18,2012-03-25,2012-03-30,1000,1,1000
SO47928,BK-R89B-52,29154,2012-04-25,2012-05-02,2012-05-07,2182,1,2182
SO48219,BK-M68S-42,26511,2012-05-21,2012-05-28,2012-06-02,2071,1,2071
